C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_17800_RPM.xdf,12.12.24,13:28:32,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0032584,0.0000000,0.0000000,0.0043816,0.0000000,0.0000000,0.0005248,0.0000000,0.0000000,-6.2489843,0.0000000,0.0000000,-17.0083427,0.0000000
,6.2500000,-0.0000019,-0.0000023,6.2500000,0.0023099,0.0003835,6.2500000,-0.0028805,-0.0000394,6.2500000,-0.0008749,0.0004669,6.2500000,4.6350756,0.7032515,6.2500000,20.0815544,13.1828041
,12.5000000,0.0000001,0.0000236,12.5000000,-0.0001497,0.0000628,12.5000000,-0.0001499,-0.0002770,12.5000000,0.0017317,-0.0004665,12.5000000,0.0387467,0.2425822,12.5000000,2.0765929,-3.4449368
,18.7500000,-0.0000260,-0.0000742,18.7500000,0.0002864,-0.0005858,18.7500000,0.0003372,0.0005508,18.7500000,-0.0015541,0.0005025,18.7500000,-0.7310982,-0.9908589,18.7500000,-21.0149841,10.5828714
,25.0000000,0.0000193,0.0002525,25.0000000,-0.0000967,0.0007464,25.0000000,-0.0006007,-0.0000532,25.0000000,-0.0001541,-0.0008192,25.0000000,0.7687368,1.1835520,25.0000000,6.6481509,-10.2922926
,31.2500000,0.0000836,-0.0002897,31.2500000,-0.0000916,-0.0003964,31.2500000,0.0000867,-0.0000732,31.2500000,0.0008458,0.0004744,31.2500000,0.1512857,-0.9663912,31.2500000,9.2440395,-5.8921728
,37.5000000,-0.0001870,0.0001416,37.5000000,0.0001721,0.0001259,37.5000000,0.0002393,-0.0002795,37.5000000,-0.0005171,0.0000462,37.5000000,-0.4602051,0.3004968,37.5000000,3.4835081,9.7359066
,43.7500000,0.0001553,-0.0000234,43.7500000,0.0001907,0.0002328,43.7500000,-0.0000669,0.0004234,43.7500000,0.0004485,0.0003554,43.7500000,-0.1019542,0.4641835,43.7500000,-15.3656654,-3.8220093
,50.0000000,-0.0004836,-0.0002374,50.0000000,0.0006915,0.0007648,50.0000000,0.0011970,0.0006761,50.0000000,0.0008053,0.0012127,50.0000000,0.8210104,0.1074806,50.0000000,3.8130314,4.4521108
,56.2500000,0.0009942,0.0002611,56.2500000,-0.0050969,-0.0068105,56.2500000,-0.0054564,-0.0066514,56.2500000,-0.0051358,-0.0076194,56.2500000,-3.4856923,-4.1662397,56.2500000,8.2417269,-10.1676035
,62.5000000,-0.0007109,0.0001912,62.5000000,0.0057982,0.0083615,62.5000000,0.0059830,0.0082169,62.5000000,0.0055175,0.0083792,62.5000000,3.9346805,4.8183947,62.5000000,-8.8240175,13.9547672
,68.7500000,0.0001469,-0.0003353,68.7500000,-0.0014467,-0.0023608,68.7500000,-0.0015433,-0.0019497,68.7500000,-0.0010631,-0.0022054,68.7500000,-0.8623206,-0.2170194,68.7500000,4.7727404,-16.7916012
,75.0000000,0.0001465,0.0000589,75.0000000,-0.0000906,-0.0001989,75.0000000,0.0000104,-0.0005950,75.0000000,-0.0001781,0.0002793,75.0000000,-0.2573239,-1.5716420,75.0000000,-2.9304361,9.6851521
,81.2500000,0.0001399,-0.0002153,81.2500000,-0.0000785,-0.0000019,81.2500000,-0.0004376,0.0000761,81.2500000,-0.0002165,-0.0004912,81.2500000,0.0888322,1.0755029,81.2500000,2.0011299,3.8143034
,87.5000000,-0.0004407,0.0002914,87.5000000,-0.0005522,0.0000923,87.5000000,0.0000289,0.0001759,87.5000000,-0.0000617,0.0001540,87.5000000,-0.3729274,-0.6228449,87.5000000,-3.2156835,-3.8957629
,93.7500000,-0.0000095,0.0003074,93.7500000,0.0009672,-0.0001180,93.7500000,0.0000308,0.0000749,93.7500000,0.0008440,-0.0005575,93.7500000,0.7491410,0.6368366,93.7500000,7.5796223,-3.3706689
,100.0000000,-0.0001362,-0.0010552,100.0000000,-0.0006730,-0.0002233,100.0000000,0.0005716,-0.0004044,100.0000000,-0.0014181,0.0004969,100.0000000,-0.6922103,-1.1854836,100.0000000,-6.3642926,9.9317284
,106.2500000,0.0007867,0.0013864,106.2500000,0.0001975,0.0001547,106.2500000,-0.0006607,-0.0003827,106.2500000,0.0005623,0.0001965,106.2500000,-0.0597428,0.5515796,106.2500000,3.0238869,-11.9437876
,112.5000000,-0.0006334,-0.0007665,112.5000000,-0.0005036,-0.0004242,112.5000000,0.0001954,0.0004815,112.5000000,-0.0006977,-0.0009094,112.5000000,0.2843549,0.0525041,112.5000000,-2.6659453,5.9239092
,118.7500000,-0.0003977,-0.0004463,118.7500000,0.0015201,0.0008082,118.7500000,0.0000167,0.0003224,118.7500000,0.0022784,0.0012855,118.7500000,0.5064580,0.3478834,118.7500000,4.8443189,-0.0702090
