C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.011373,0,0,0.0472177,0,0,0.0163598,0,0,75.8769913,0,0,116.0329132,0
,6.25,-0.0000013,0.0000043,6.25,-0.0077782,-0.0058964,6.25,-0.035008,-0.0048803,6.25,-0.0134561,0.0048447,6.25,-53.0906067,-98.1255875,6.25,-123.0900574,-9.3283873
,12.5,-0.000022,-0.0000231,12.5,-0.0003736,0.0020485,12.5,0.002343,0.0020519,12.5,0.0028705,-0.0006589,12.5,-41.0084305,138.7993317,12.5,55.0983582,-33.4275246
,18.75,0.0001089,0.0000382,18.75,-0.0003356,0.0001834,18.75,-0.0014759,-0.0019534,18.75,-0.001625,0.0008389,18.75,52.2171326,-103.9888153,18.75,-7.7612791,3.2775378
,25,-0.0004876,-0.0001507,25,0.0006965,-0.0003591,25,0.0004237,0.0026621,25,0.0015619,-0.0019493,25,-0.0539567,43.067646,25,18.2474155,8.8159447
,31.25,0.0005431,-0.0001991,31.25,-0.0004236,0.0007005,31.25,0.000733,-0.0009512,31.25,-0.0015837,0.0007121,31.25,0.4327683,-3.4985337,31.25,-24.6538048,43.559803
,37.5,-0.0001248,0.0008955,37.5,0.000698,-0.0006082,37.5,-0.0008646,-0.0014127,37.5,0.0010022,-0.0004393,37.5,-14.7169304,-13.0428038,37.5,-88.2321854,-35.013279
,43.75,-0.0007243,-0.0000924,43.75,-0.0008973,0.000369,43.75,0.00034,0.0021806,43.75,-0.0006106,0.0003768,43.75,14.1711655,18.9923477,43.75,134.2480621,-15.4567404
,50,0.0019262,-0.0018282,50,0.0012754,-0.0007625,50,0.0021645,-0.0017034,50,0.0008647,-0.0002994,50,-12.356041,24.6884212,50,-12.5117979,27.495573
,56.25,-0.0023913,-0.0001743,56.25,-0.0029107,0.0031797,56.25,-0.0040438,0.0039456,56.25,-0.0026997,0.002447,56.25,-31.1674995,-59.0325127,56.25,-48.1296082,16.2004948
,62.5,0.0024603,0.0022744,62.5,0.002383,-0.0029271,62.5,0.0026306,-0.0040039,62.5,0.0031543,-0.0030877,62.5,23.3585949,23.5650539,62.5,19.9171944,-33.3634377
,68.75,-0.0007032,-0.0002553,68.75,-0.0000406,-0.0000662,68.75,-0.000206,0.0010847,68.75,-0.0018193,-0.0004859,68.75,8.859704,7.4075894,68.75,-4.7697139,6.5346637
,75,-0.0028311,0.0019005,75,-0.0002325,0.0004303,75,-0.0017665,-0.0011974,75,0.0015008,0.0020504,75,21.1226082,-34.8053589,75,1.2560561,-1.5490435
,81.25,0.0036368,-0.0050594,81.25,-0.000149,0.0007556,81.25,0.0029237,0.0010122,81.25,-0.0013054,0.0001881,81.25,-30.3702259,45.3887787,81.25,0.1968735,-6.3707008
,87.5,0.0016572,0.0028439,87.5,0.0003005,-0.0010754,87.5,-0.0026598,-0.0002909,87.5,0.0018657,-0.0007184,87.5,26.3908157,-15.0971527,87.5,-6.2990007,7.2110219
,93.75,-0.0045956,-0.000895,93.75,-0.0002656,0.0005957,93.75,0.0019521,0.0025445,93.75,-0.001347,-0.0022031,93.75,-32.8448372,-13.8064013,93.75,7.0641379,4.3043914
,100,-0.0015959,0.0050154,100,-0.0008048,-0.0002678,100,-0.0012155,-0.0033435,100,-0.0015438,0.003656,100,11.8331175,19.4197121,100,-7.6467323,-4.8588552
,106.25,0.0044395,-0.003565,106.25,0.0008904,0.000639,106.25,-0.0001348,0.0008245,106.25,0.0021079,-0.0015667,106.25,28.5535831,-21.056797,106.25,9.7566986,7.2231097
,112.5,-0.003229,0.0023072,112.5,-0.0000212,-0.0009031,112.5,-0.0005597,-0.0000349,112.5,-0.0000218,0.000083,112.5,-44.4603958,78.6125946,112.5,-25.8461437,-26.0274811
,118.75,0.0009025,-0.0166463,118.75,0.0003003,-0.0003438,118.75,0.0046664,0.0011219,118.75,-0.002219,-0.0025823,118.75,16.2923851,-147.3124237,118.75,29.6105556,-13.5464325
,125,-0.0012836,0.0179524,125,-0.0007666,0.0020495,125,-0.0034996,-0.000365,125,0.0015383,0.0041954,125,-50.6732292,125.638649,125,-36.3719597,91.9215775
,131.25,0.0055163,-0.0046749,131.25,0.0008803,-0.0023169,131.25,0.0003412,-0.0033737,131.25,0.0002019,-0.0007744,131.25,74.2892914,3.4344196,131.25,44.1650505,-36.2812347
,137.5,0.0031818,-0.0015403,137.5,-0.001994,0.0003709,137.5,-0.0016423,0.0026533,137.5,-0.0006661,-0.0016792,137.5,18.8007011,-47.7790222,137.5,10.4195385,-20.2633514
,143.75,-0.0108361,0.0109797,143.75,0.0039107,0.0017599,143.75,0.0044185,0.0037142,143.75,0.0025254,-0.0005051,143.75,-44.5162468,-57.23592,143.75,-38.9273796,-30.7385502
