C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_9.xdf,12.12.24,16:28:06,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.1362039,0,0,0.0157141,0,0,0.1068399,0,0,-637.1860352,0,0,42.3983192,0
,6.25,0.0000043,0.0000041,6.25,0.1044934,0.0062693,6.25,-0.0050932,0.012901,6.25,-0.0719657,0.0024588,6.25,1194.4364014,-1244.9003906,6.25,-1332.3654785,71.9210739
,12.5,-0.0001177,-0.0000335,12.5,-0.0089963,-0.0095609,12.5,-0.0008772,-0.0061735,12.5,-0.0029959,-0.0107051,12.5,-1174.8266602,1374.7943115,12.5,1371.6333008,-166.6417694
,18.75,0.0001547,0.0000851,18.75,0.0001839,0.0064752,18.75,-0.0089941,0.0000854,18.75,-0.0007958,0.008964,18.75,593.7357178,-835.0626221,18.75,221.7956085,-42.2019348
,25,0.0003742,0.0004012,25,0.0009673,-0.0015394,25,0.0027661,-0.0016597,25,-0.000768,-0.0035303,25,-128.3699951,526.473999,25,-343.800354,311.4086914
,31.25,-0.002104,-0.0023054,31.25,-0.0000572,-0.0008681,31.25,0.0032968,0.000707,31.25,0.0021087,0.002218,31.25,-150.2846527,-309.2258301,31.25,-101.7436447,-437.5440979
,37.5,0.0027978,0.0026562,37.5,-0.0009839,0.0015327,37.5,-0.004306,0.0022311,37.5,-0.0028319,-0.0016801,37.5,140.8532104,169.6853638,37.5,738.6611938,599.8607788
,43.75,-0.0002637,0.0002053,43.75,0.0011558,-0.0012798,43.75,0.0012977,-0.0031683,43.75,0.0024198,0.0009961,43.75,-122.2705154,-195.042511,43.75,-943.4563599,-491.8169556
,50,-0.0027564,-0.0018382,50,-0.0000781,0.0009937,50,0.0042061,0.0019983,50,0.0005513,-0.0013395,50,276.009491,292.9411621,50,372.6358032,-28.5820503
,56.25,0.0022495,-0.001109,56.25,-0.0027191,-0.0016526,56.25,-0.0059969,-0.0021527,56.25,-0.0023982,0.0011734,56.25,-236.7415771,-273.02948,56.25,-104.3988647,223.8251953
,62.5,-0.0000533,0.002507,62.5,0.0038877,0.0017792,62.5,0.0033959,0.0026129,62.5,0.0015714,-0.0001618,62.5,76.171814,73.1650391,62.5,113.8568726,-79.3837662
,68.75,0.0014066,-0.0017169,68.75,-0.0010595,-0.0008833,68.75,-0.0001701,-0.0011031,68.75,0.0008051,-0.0005728,68.75,-75.6418686,108.1535568,68.75,-15.0336466,7.4570384
,75,-0.001167,0.004893,75,-0.0010065,-0.0000992,75,-0.0015427,-0.0005615,75,-0.0025386,0.0014858,75,162.0811768,-141.6184845,75,17.5527058,-8.2670441
,81.25,-0.0006596,-0.0045151,81.25,-0.0010342,0.0008675,81.25,-0.0010192,0.0018325,81.25,0.0013461,-0.0000682,81.25,-175.2766266,27.2909985,81.25,-100.6035767,89.8588181
,87.5,-0.0022537,0.0009792,87.5,0.0030483,-0.0011079,87.5,0.003536,-0.0015199,87.5,0.0001611,-0.0030127,87.5,90.7895508,54.2626343,87.5,128.0512238,-134.233017
,93.75,0.0034903,0.0016389,93.75,-0.001653,0.0000771,93.75,-0.0015259,-0.0007616,93.75,-0.0004323,0.0030064,93.75,12.0945988,27.0507126,93.75,-40.3587685,51.2525215
,100,-0.0008545,-0.0019519,100,0.000642,0.0006207,100,0.0009272,0.0025521,100,0.0006805,-0.0017071,100,-61.5825653,-154.751297,100,-19.8924942,7.1020637
,106.25,0.0011919,0.0053505,106.25,-0.0010356,-0.0002785,106.25,-0.0008681,-0.0031989,106.25,-0.0015031,0.0015477,106.25,0.7772,228.7319183,106.25,7.1043205,1.1347669
,112.5,-0.0054226,-0.0111145,112.5,0.0018121,0.0006685,112.5,-0.0014648,0.0037086,112.5,0.0040295,-0.0024031,112.5,79.8914871,-193.6862183,112.5,21.5595417,8.1753426
,118.75,0.0148204,-0.0002008,118.75,-0.0015575,-0.0020463,118.75,0.0033297,-0.0016053,118.75,-0.0052907,0.0012782,118.75,-74.8394547,73.3666763,118.75,-68.7112961,-28.7465878
,125,-0.0161527,0.0108914,125,-0.0004311,0.0021629,125,-0.0010201,-0.0022778,125,0.0014619,0.0010234,125,44.2805138,2.1106062,125,66.6013489,35.4093208
,131.25,0.0085504,0.0092257,131.25,0.0004918,-0.0012497,131.25,-0.003104,0.001588,131.25,0.0019981,0.0001912,131.25,-56.0528641,-54.6957245,131.25,-29.5506535,-41.7199249
,137.5,-0.0174882,-0.0314177,137.5,0.0017217,-0.0000367,137.5,0.0041593,0.0000225,137.5,0.0005147,-0.0028034,137.5,22.7453785,133.601593,137.5,5.4338684,89.2015686
,143.75,0.0329752,0.0185123,143.75,-0.0020397,-0.0009885,143.75,-0.0010869,0.0014199,143.75,-0.0024276,-0.0004829,143.75,43.6370773,-145.7187653,143.75,23.1743755,-104.4852982
