sec,spd,
100,405,
8625,410,
9450,480,
9900,535,
10100,535,
10275,615,
10450,710,
10725,795,
10900,840,
11050,875,
11150,890,
11375,860,
11700,805,
12225,755,
12750,695,
13025,670,
13225,665,
13400,665,
13750,785,
14025,985,
14225,1170,
14650,1470,
14850,1555,
14975,1600,
15050,1625,
15175,1625,
15425,1580,
15675,1505,
15950,1350,
16150,1330,
16250,1270,
16350,1230,
16600,1140,
16850,980,
17200,790,
17575,560,
17825,480,
18175,440,
19175,375,
20075,350,
20625,340,
21500,380,
22475,445,
23000,470,
23150,500,
23375,520,
23650,525,
23925,515,
24125,535,
24775,555,
25700,560,
26475,530,
26950,520,
27800,525,
28650,505,
29475,465,
30275,395,
31150,410,
31575,510,
31975,495,
32175,585,
32375,660,
32600,710,
32825,740,
33050,770,
33325,775,
33500,685,
33750,580,
33975,500,
34550,470,
35200,435,
36500,440,
37150,490,
37575,590,
37850,645,
37975,650,
38250,665,
38600,660,
39200,640,
39525,635,
39750,615,
39900,560,
40350,465,
41200,400,
41950,425,
42175,525,
42325,645,
42600,765,
42750,830,
43025,920,
43175,965,
43400,975,
43575,975,
43875,935,
44200,850,
44450,745,
44700,645,
44825,590,
45000,525,
45475,460,
46025,445,
46225,455,
46575,435,
46775,635,
47000,795,
47225,990,
47525,1175,
47875,1375,
48275,1485,
48550,1545,
48900,1605,
49150,1720,
49475,1790,
49600,1845,
49750,1860,
49925,1815,
50225,1700,
50725,1485,
50850,1340,
51075,1190,
51250,1070,
51525,940,
51750,865,
52050,780,
52300,735,
52675,710,
53025,725,
53250,740,
53550,720,
53725,650,
54225,540,
54575,505,
54875,430,
55575,520,
55775,620,
55975,720,
56175,800,
56450,850,
56600,890,
56800,910,
57125,915,
57425,870,
57600,845,
57800,860,
58050,800,
58275,725,
58575,755,
58800,705,
59050,655,
59250,575,
59575,455,
60225,425,
61200,400,
62550,425,
63150,445,
63350,550,
63525,625,
63850,635,
64450,600,
64550,565,
64725,665,
64975,760,
65100,815,
65300,885,
65475,905,
65700,905,
65925,920,
66100,855,
66275,760,
66375,670,
66725,520,
67225,415,
68025,365,
69925,360,
72175,380,
73350,350,
73750,375,
74300,395,
75175,385,
76125,405,
77625,420,
79150,415,
80225,430,
80875,440,
81325,480,
81650,640,
81900,810,
82350,975,
82575,1060,
82875,1110,
83125,1090,
83575,1065,
83725,1050,
84050,920,
84400,770,
84650,655,
84825,595,
85075,525,
85425,485,
86400,470,
87375,460,
88575,470,
89525,460,
90650,475,
91650,575,
91875,620,
92100,645,
