time,speed
75,1260
475,1030
700,890
975,820
1125,865
1300,975
1650,1110
2175,1195
3025,1210
3650,1210
3925,1200
4100,1210
4175,1365
4300,1465
4475,1620
4700,1755
4800,1805
4900,1830
5000,1800
5475,1690
5900,1580
6250,1520
6475,1500
6675,1480
6825,1430
7075,1325
7350,1245
7675,1210
8175,1190
8775,1185
8950,1185
9050,1185
9125,1140
9300,1070
9475,990
9825,815
10175,715
10775,570
11350,525
11600,560
12025,510
12775,485
13000,775
13075,960
13275,1365
13600,1745
13750,2190
13875,2370
14000,2455
14125,2440
14225,2405
14500,2330
14675,2290
14875,2270
14950,2280
15075,2340
15275,2425
15625,2490
16025,2530
16175,2530
16425,2515
17025,2455
17750,2425
18375,2385
18625,2405
18775,2425
18925,2425
19100,2325
19400,2205
19675,2145
19800,2120
20025,2205
20125,2245
20275,2305
20500,2225
20650,2125
20850,2040
21125,2065
21600,2130
21925,2175
22150,2185
22275,2155
22400,2135
22525,2235
22625,2280
22700,2315
22750,2330
23025,2315
23250,2395
23400,2425
23600,2450
23700,2455
23900,2410
24175,2365
24425,2410
24750,2460
25000,2470
25425,2450
25675,2425
25775,2390
25975,2225
26125,1890
26300,1480
26500,1170
26950,870
27700,610
27975,565
28250,835
28700,1140
29000,1345
29200,1515
29325,1620
29525,1620
30375,1575
31300,1490
31850,1460
32100,1455
32350,1305
32650,1020
32850,875
33100,755
33375,1045
33775,1710
34050,2190
34200,2445
34250,2505
34400,2545
34575,2520
34875,2415
35275,2350
35575,2335
35950,2370
36275,2400
36550,2410
36700,2275
36850,1840
37175,1345
37375,1060
37700,795
37900,865
38025,1165
38225,1535
38500,1915
38700,2160
38850,2220
39300,2140
39825,2025
40500,1950
40850,1930
41100,1570
41400,1245
41750,915
42600,585
43225,475
43900,410
44425,420
44875,515
50375,680
50625,1155
50950,1630
51025,1760
51225,1845
51550,1780
51775,1735
51925,1585
52125,1490
52200,1485
52475,1660
52675,1930
52750,2030
52900,2105
53375,2045
53800,2025
54200,2165
54550,2340
54875,2495
55125,2495
55800,2540
56450,2495
56900,2635
57075,2695
57325,2770
57675,2710
58075,2685
58250,2465
58525,2215
58625,2100
58875,1960
59175,2205
59800,2440
60125,2510
60775,2465
61425,2465
61750,2460
62125,2270
62275,1925
62425,1735
62725,1605
63150,1470
63325,1460
63925,1525
64750,1585
65500,1600
65600,1775
65750,1935
65875,2070
66325,1965
66750,1760
67125,1400
67425,1185
67900,1025
68250,1145
68550,1450
68775,1625
69025,1730
69425,1685
69850,1640
70175,1585
70350,1845
70575,2135
70775,2295
70900,2300
71350,2250
72350,2205
73425,2160
74250,2175
74450,2180
75050,1940
75600,1750
76025,1605
76375,1255
76675,985
77250,730
78250,550
79350,465
79800,445
81825,380
82875,355
83300,950
83600,1490
83850,1765
84050,1925
84275,1860
84450,1825
84625,1955
84925,2070
85300,2155
85475,2200
85700,2155
86000,1655
86225,1245
86775,970
87125,890
87300,915
87650,795
87900,695
88225,600
88650,865
88875,1240
89150,1490
89400,1575
89725,1525
90075,1460
90300,1650
90450,1805
90875,1740
91250,1660
91600,1260
92125,890
92825,615
93325,535
93950,505
94450,915
94800,1340
95100,1535
95300,1720
95425,1800
95650,1860
95900,1795
96325,1695
96600,1645
96900,1640
97150,1720
97375,1845
97675,1775
98425,1675
99050,1605
99350,1560
99500,1355
99825,1070
100425,735
100900,595
101350,510
101700,530
102050,595
102575,640
103000,635
103525,535
104450,395
105750,305
106125,565
106375,620
106650,900
106875,1315
107100,1560
107225,1630
107450,1670
107750,1615
108000,1560
108300,1505
108450,1675
108675,1995
108850,2250
109125,2395
109325,2420
109800,2320
110250,2250
110400,2215
110625,2065
110900,1970
111025,1905
111425,2040
111625,2245
111900,2370
112275,2305
112850,2235
113250,2310
113700,2360
113975,2345
114650,1790
115200,1215
115575,990
116175,995
116725,915
117325,745
118200,515
118975,435
120725,460
121150,1025
121575,1715
121800,2130
122150,1710
122325,1380
122575,1175
123000,1770
123400,2470
123775,2960
123950,2990
124325,2880
124675,2810
124825,2805
125425,2895
126350,2895
127725,2860
128925,2845
129400,2855
130000,2830
130350,3045
130550,3240
130850,3495
132425,3470
134750,3510
136300,3570
137700,3610
138425,3600
138825,3065
139325,1840
139700,1120
139900,1030
140200,1505
140475,1710
140675,2105
140850,2460
141050,2740
141250,2940
141425,2920
141850,2775
142400,2675
142650,2715
142900,2725
143150,2695
143800,2505
144325,2400
145225,2335
145875,2330
146175,2440
146500,2535
146875,2495
147350,2390
147750,2225
148150,2155
148900,2065
149575,2060
150675,2005
151200,2040
152225,2005
153075,2015
153325,2150
153400,2245
153575,2305
153850,2220
154075,2165
154400,2110
154675,2165
154850,2225
155000,2190
155300,1725
155600,1220
156050,915
156625,710
156800,710
157075,875
157300,985
157575,1050
157850,1040
158575,940
159375,780
159675,705
160125,590
160500,995
160800,1135
161000,1130
161225,1360
161300,1575
161400,1690
161675,1715
161850,1695
162050,1955
162325,2205
162725,2350
163100,2310
163550,2270
163700,2280
163800,2330
164000,2485
164200,2595
164350,2680
164625,2680
165150,2610
165850,2550
167250,2510
168275,2500
168575,2280
168850,1675
169125,1160
169725,820
170350,635
170525,675
170950,1025
171350,1785
171650,2505
171850,2580
171925,2640
172175,2565
172575,2475
172825,2435
173100,2480
173375,2660
173675,2855
174100,2985
174875,2955
175550,2975
176125,2945
176600,2985
177100,2955
177575,2970
178075,2945
178575,2920
178925,2940
179425,2915
180375,2870
180975,2895
182000,2840
182900,2815
183000,2720
183175,2395
183425,1675
183725,1145
184300,825
184675,730
185025,845
185225,960
185350,945
185450,930
185725,1150
185875,1420
186100,1755
186400,2255
186800,2440
187350,2315
187725,2270
188200,1750
188600,1245
188875,990
190000,565
190450,920
190925,1170
191375,1305
191850,1360
192050,1765
192200,1990
192300,2175
192575,2130
193350,2010
194400,1940
195250,1945
195425,2040
195775,2390
196200,2565
196725,2915
197225,3010
197575,3010
198100,3155
198500,3165
199050,3125
199400,2610
199650,2045
199825,1660
200100,1470
200375,1400
200650,2045
200900,2430
201050,2765
201250,2855
201600,2710
202025,2605
202275,2550
